heart q_lv_init,aortic_root C,heart E_lv_A,heart E_lv_B
7.63341e-01, 3.72973e-01, 3.06989e-01, 3.26444e-01
8.25696e-01, 3.34366e-01, 6.46237e-01, 5.07780e-01
8.06985e-01, 3.15768e-01, 5.03581e-01, 4.54751e-01
8.06985e-01, 3.15768e-01, 5.03581e-01, 4.54751e-01
8.06985e-01, 3.15768e-01, 5.03581e-01, 4.54751e-01
8.06985e-01, 3.15768e-01, 5.03581e-01, 4.54751e-01
8.61751e-01, 3.07960e-01, 7.05304e-01, 5.74366e-01
8.61751e-01, 3.07960e-01, 7.05304e-01, 5.74366e-01
8.61751e-01, 3.07960e-01, 7.05304e-01, 5.74366e-01
8.61751e-01, 3.07960e-01, 7.05304e-01, 5.74366e-01
8.61751e-01, 3.07960e-01, 7.05304e-01, 5.74366e-01
