heart q_lv_init,aortic_root C,heart E_lv_A,heart E_lv_B,venous_svc C,heart E_rv_A,heart E_rv_B,systemic_T R_T
1.18364e-01, 1.26153e-01, 1.32499e-01, 3.88240e-01, 9.31939e-01, 5.75562e-02, 7.52604e-01, 8.85471e-01
1.35041e-01, 9.69774e-02, 1.39364e-01, 3.86314e-01, 1.00000e+00, 6.41285e-02, 7.71046e-01, 9.90568e-01
1.62292e-01, 1.57006e-02, 6.22191e-02, 4.04937e-01, 9.56688e-01, 3.23988e-02, 8.36611e-01, 9.47951e-01
1.43752e-01, 8.93070e-02, 1.26840e-01, 3.91348e-01, 1.00000e+00, 6.44664e-02, 8.31447e-01, 1.00000e+00
1.51368e-01, 4.11614e-02, 0.00000e+00, 3.36082e-01, 1.00000e+00, 8.58687e-02, 8.76963e-01, 1.00000e+00
1.59939e-01, 4.87356e-02, 0.00000e+00, 3.20199e-01, 1.00000e+00, 8.25995e-02, 8.24405e-01, 1.00000e+00
1.62073e-01, 3.44832e-02, 0.00000e+00, 3.18142e-01, 9.60276e-01, 7.99774e-02, 8.18571e-01, 1.00000e+00
1.59501e-01, 1.87529e-02, 5.35030e-02, 3.50272e-01, 1.00000e+00, 8.14691e-02, 9.34964e-01, 1.00000e+00
1.50222e-01, 1.49925e-02, 8.38844e-02, 4.18758e-01, 1.00000e+00, 3.77186e-02, 6.21208e-01, 1.00000e+00
1.50222e-01, 1.49925e-02, 8.38844e-02, 4.18758e-01, 1.00000e+00, 3.77186e-02, 6.21208e-01, 1.00000e+00
1.50222e-01, 1.49925e-02, 8.38844e-02, 4.18758e-01, 1.00000e+00, 3.77186e-02, 6.21208e-01, 1.00000e+00
1.50222e-01, 1.49925e-02, 8.38844e-02, 4.18758e-01, 1.00000e+00, 3.77186e-02, 6.21208e-01, 1.00000e+00
